,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"17 Children, 18 PathLength",2427001153744527360000,3.127666711807251,2.0584170818328857,2.9468554854393005,32768,32768,32768.0,35,3.734062867648233e+16
"18 Children, 18 PathLength",84945040381058457600000,6.495542526245117,4.2150962352752686,6.083239883184433,65536,65536,65536.0,36,1.4247237858782205e+18
"20 Children, 16 PathLength",29051203810321992499200000,26.162312746047974,17.80623698234558,24.479015558958054,262144,262144,262144.0,36,5.284269297982426e+20
"16 Children, 20 PathLength",202250096145377280000,1.6566133499145508,1.0398838520050049,1.475440114736557,16384,16384,16384.0,36,3187886442762062.0
"19 Children, 17 PathLength",1613955767240110694400000,14.026875972747805,9.695539474487305,13.300434798002245,131072,131072,131072.0,36,2.5922713558896427e+19
"17 Children, 19 PathLength",4247252019052922880000,3.168609619140625,2.2240419387817383,2.9688518941402435,32768,32768,32768.0,36,6.538432546495618e+16
"17 Children, 20 PathLength",7281003461233582080000,3.204636573791504,2.176384925842285,3.002738863229752,32768,32768,32768.0,37,1.0621528573700534e+17
"19 Children, 18 PathLength",3058021453718104473600000,14.019037008285522,9.472578763961792,13.18897208571434,131072,131072,131072.0,37,5.1741420246337315e+19
"20 Children, 17 PathLength",58102407620643984998400000,26.07590413093567,17.680283546447754,24.626288890838623,262144,262144,262144.0,37,8.805652866034513e+20
"18 Children, 19 PathLength",152901072685905223680000,6.716160774230957,4.28637433052063,6.072752684354782,65536,65536,65536.0,37,2.602804533461348e+18
"19 Children, 19 PathLength",5657339689378493276160000,15.04746413230896,10.283209085464478,13.761948257684708,131072,131072,131072.0,38,9.041051697672002e+19
"18 Children, 20 PathLength",269397128065642536960000,6.3375396728515625,4.379477024078369,5.9913338124752045,65536,65536,65536.0,38,4.540554162943167e+18
"20 Children, 18 PathLength",113146793787569865523200000,27.229453325271606,18.587884426116943,25.10741028189659,262144,262144,262144.0,38,1.7648185438340907e+21
"19 Children, 20 PathLength",10237090866494416404480000,16.34088897705078,10.004230976104736,15.21125230193138,131072,131072,131072.0,39,1.882979885143204e+20
"20 Children, 19 PathLength",214978908196382744494080000,27.428412914276123,19.23578977584839,25.966893136501312,262144,262144,262144.0,39,3.286275294045693e+21
"20 Children, 20 PathLength",399246543793282239774720000,27.827895402908325,18.6089084148407,26.224805653095245,262144,262144,262144.0,40,5.750946839235396e+21
